# The rediscovery table (docs/ROADMAP.md section 10.2).
#
# One row per protection the project has paid for. Each row names a patch
# that REVERTS the protection and the test selector that must then fail.
# `sh tools/rediscovery/run.sh --tier N` applies each row of a tier to a
# scratch copy and requires the selected tests to fail there; a protection
# whose removal changes nothing is a comment with an if statement around it.
# `sh tools/rediscovery/check-patches.sh` (a gate phase) requires every row's
# patch to still apply to the working tree, so a refactor that moves a check
# fails the gate until the patch is redone.
#
# Columns, tab separated:
#   patch-file  under tools/rediscovery/patches/, applied with patch -p1 at
#               the root of the scratch copy
#   tier        the tier the selected tests belong to (section 10.1)
#   stage       '-' in Phase 0; tiers 6 and 7 name their stage here
#   suite       which suite the selector runs in: cabal (the Haskell
#               prototype's tasty suite), cargo (the Rust workspace), or
#               one non-Rust SDK's own suite -- python (unittest, in
#               sdk/python), mix (ExUnit, in sdk/elixir), maven (JUnit, in
#               sdk/java) or dotnet (xUnit, in sdk/dotnet)
#   test        the selector: a tasty pattern (-p) for cabal, a test-name
#               filter for cargo, a unittest -k pattern for python, a test
#               file (or file:line) for mix, a surefire -Dtest pattern for
#               maven, a --filter expression for dotnet; the baseline run
#               must select at least one
#   env         '-' or VAR=VALUE assignments the row is run with; a tier-7
#               row's seed and step count live here, not in a README
#
patch-file	tier	stage	suite	test	env
secret-in-forbidden-hook-message.patch	1	-	cargo	a_secret_is_dropped_from_every_hook_message_but_the_two_that_may_carry_one	-
secret-journaled.patch	1	-	cargo	a_secret_goes_to_the_first_acceptor_that_takes_it_and_never_to_the_store	-
ledger-holds-past-close.patch	7	-	cargo	a_sweep_of_seeds_breaks_no_invariant	-
fired-steps-stay-applied.patch	7	-	cargo	a_sweep_of_seeds_breaks_no_invariant	-
interrupted-step-never-undone.patch	1	-	cargo	a_step_whose_do_the_engine_died_inside_is_undone_on_the_way_back	-
hook-host-loses-its-rue-root.patch	1	-	cargo	a_host_a_hook_lists_is_the_equal_of_one_a_file_declares	-
secret-printed-by-debug.patch	1	-	cargo	a_secret_does_not_survive_being_formatted	-
hook-missing-field-accepted.patch	1	-	cargo	the_reference_hook_passes_every_case	-
hook-silent-as-ok.patch	1	-	cargo	the_reference_hook_passes_every_case	-
hook-killed-not-closed.patch	1	-	cargo	a_hook_the_shell_did_not_exec_still_ends_when_the_suite_does	-
subscriber-loses-events-mid-verb.patch	1	-	cargo	an_event_arriving_while_a_verb_is_in_flight_is_kept_and_not_discarded	-
secret-unresolved-runs-blank.patch	1	-	cargo	a_step_naming_a_secret_with_no_source_declared_is_refused_and_never_runs	-
secrets-file-world-readable.patch	1	-	cargo	a_secrets_file_others_can_read_is_refused_rather_than_read	-
hook-inventory-read-from-file.patch	2	-	cargo	the_codes_partition_and_every_surface_negative_refuses_with_exactly_its_code	-
shim-repairs-a-reply.patch	1	-	cargo	a_shell_script_behind_the_shim_passes_every_case	-
sink-refusal-not-propagated.patch	1	-	cargo	a_refusing_sink_is_r0304_and_the_refusal_is_journaled_to_the_sinks_that_still_ack	-
nonfile-fact-cannot-drift.patch	1	-	cargo	an_appliance_fact_moved_under_the_plan_is_clobbered_and_journaled	-
nonfile-fact-unwatched.patch	1	-	cargo	a_do_that_touches_another_op_s_appliance_fact_is_r0201	-
journal-sinks-truncated.patch	1	-	cargo	a_site_may_declare_more_than_one_journal_sink_and_keeps_all_of_them	-
rehearsal-blocks-the-real-plan.patch	1	-	cargo	a_rehearsal_neither_blocks_the_real_plan_nor_is_blocked_by_it	-
hook-protocol-changes-silently.patch	2	-	cargo	every_artifact_matches_its_expected_file	-
controller-never-reaches-a-hook.patch	1	-	cargo	a_controller_step_goes_to_the_controller_hook_when_the_site_binds_one	-
hook-action-on-local-checks-clean.patch	2	-	cargo	every_negative_refuses_with_exactly_its_code	-
probe-without-run-body-checks-clean.patch	2	-	cargo	every_negative_refuses_with_exactly_its_code	-
imported-probe-declared-qualified.patch	1	-	cargo	an_imported_probe_is_declared_by_the_name_every_reference_uses	-
open-import-probe-undeclared.patch	1	-	cargo	an_open_import_s_probe_is_declared_too	-
knell-cost-shown-by-name.patch	1	-	cargo	a_knell_asks_its_acknowledger_to_accept_the_measured_cost_not_its_name	-
handoff-probe-unchecked.patch	1	-	cargo	executor_rules	-
static-probe-observed-with-empty-body.patch	1	-	cargo	a_static_probe_is_frozen_where_it_runs_and_a_write_before_the_ack_refuses_it	-
contract-change-midplan-crashes.patch	1	-	cargo	a_static_probe_is_frozen_where_it_runs_and_a_write_before_the_ack_refuses_it	-
contract-change-while-waiting-crashes.patch	1	-	cargo	a_static_probe_that_moves_while_a_step_gate_waits_refuses_rather_than_crashing	-
static-probe-unchecked.patch	1	-	cargo	executor_rules	-
ack-verified-for-the-operator.patch	1	-	cargo	an_acknowledgement_over_the_channel_is_proved_by_its_authenticator_not_the_operator	-
ack-challenge-unobtainable.patch	1	-	cargo	an_acknowledgement_over_the_channel_is_proved_by_its_authenticator_not_the_operator	-
call-arguments-lost-in-the-body.patch	1	-	cargo	a_call_s_arguments_reach_the_body_as_what_they_were_bound_to	-
repeat-undo-without-its-item.patch	1	-	cargo	a_repeat_s_steps_are_undone_each_with_its_own_item	-
repeat-shape-taken-literally.patch	1	-	cargo	each_iteration_of_nested_repeats_touches_and_restores_the_fact_it_names	-
repeat-iterations-share-a-snapshot.patch	1	-	cargo	each_iteration_of_nested_repeats_touches_and_restores_the_fact_it_names	-
older-store-reported-as-newer.patch	1	-	cargo	a_v0_1_0_store_is_refused_until_migrated_and_its_instance_then_reverts	-
nested-repeat-skips-its-second-pass.patch	1	-	cargo	each_iteration_of_nested_repeats_touches_and_restores_the_fact_it_names	-
embedded-verdict-differs.patch	1	-	cargo	every_text_checks_identically_standalone_and_embedded	-
sdk-java-truncated-escape-is-an-index-error.patch	1	-	maven	JsonTest#aTruncatedUnicodeEscape*	-
sdk-java-deep-nesting-overflows-the-stack.patch	1	-	maven	JsonTest#deepNestingIsRefused*	-
sdk-java-nan-written-as-json.patch	1	-	maven	JsonTest#aNumberJsonCannotSpell*	-
sdk-java-large-double-clamped.patch	1	-	maven	JsonTest#anIntegralDoubleBeyondALong*	-
sdk-java-secret-formatted-by-accident.patch	1	-	maven	ResolvedTest#aRunHandlerReceives*	-
sdk-java-unwritable-reply-ends-the-hook.patch	1	-	maven	ServeTest#aReplyThatCannotBeWritten*	-
sdk-java-budget-ignored.patch	1	-	maven	ServeTest#aHandlerOverItsBudget*	-
sdk-python-deep-nesting-ends-the-hook.patch	1	-	python	test_a_pathologically_nested_line	-
sdk-python-unwritable-reply-ends-the-hook.patch	1	-	python	test_a_reply_that_cannot_be_written	-
sdk-python-nan-written-as-json.patch	1	-	python	test_a_number_json_cannot_spell	-
sdk-elixir-malformed-answer-crashes.patch	1	-	mix	test/hooks_test.exs	-
sdk-elixir-secret-formatted-by-accident.patch	1	-	mix	test/resolved_test.exs	-
sdk-elixir-budget-ignored.patch	1	-	mix	test/serve_test.exs	-
sdk-elixir-unwritable-reply-ends-the-hook.patch	1	-	mix	test/serve_test.exs	-
sdk-elixir-unknown-kind-crashes-the-client.patch	1	-	mix	test/client_test.exs	-
sdk-dotnet-refusal-reuses-the-id-node.patch	1	-	dotnet	FullyQualifiedName~HooksTests.AReplyMissingARequiredField	-
sdk-dotnet-unwritable-reply-ends-the-hook.patch	1	-	dotnet	FullyQualifiedName~ReplyTheSerializerRefuses|FullyQualifiedName~ReplyThatCannotBeWritten	-
sdk-dotnet-secret-formatted-by-accident.patch	1	-	dotnet	FullyQualifiedName~ResolvedTests.ARunHandlersBody	-
sdk-dotnet-budget-ignored.patch	1	-	dotnet	FullyQualifiedName~ServeTests.AHandlerOverItsBudget	-
sdk-rust-bad-line-ends-the-hook.patch	1	-	cargo	a_line_that_is_not_json_is_skipped	-
sdk-shim-bad-line-ends-the-shim.patch	1	-	cargo	is_skipped_rather_than_ending_the_shim	-
fact-read-failure-read-as-absent.patch	1	-	cargo	cannot_be_read	-
failed-do-undone-though-it-never-took.patch	1	-	cargo	never_took	-
nonfile-fact-read-by-no-probe.patch	1	-	cargo	by_the_probe_that_reads_it	-
computed-undo-on-unread-fact-checks-clean.patch	1	-	cargo	a_computed_undo_needs	-
reads-line-ignored.patch	1	-	cargo	a_probe_that_reads_a_fact_binds	-
sdk-python-missing-field-asserted.patch	1	-	python	test_a_reply_missing_a_required_field	-
sdk-rust-conform-hook-bad-line.patch	1	-	cargo	the_conformance_hook_skips	-
boot-undoes-a-step-that-never-took.patch	1	-	cargo	whose_do_never_took_is_not_undone_on_the_way_back	-
migration-note-missing.patch	1	-	cargo	a_released_text_checks_clean_or_is_told	-
older-record-unreadable.patch	1	-	cargo	store_migrates_and_its_instance_is_driven	-
second-controller-not-refused.patch	1	-	cargo	a_host_holding_another_controllers_armed_instance_directory_is_r0409	-
foreign-instance-dir-reclaimed.patch	1	-	cargo	boot_leaves_another_controllers_directory_exactly_as_it_is	-
spent-foreign-dir-blocks-the-host.patch	1	-	cargo	another_controllers_spent_directory_does_not_refuse_the_apply	-
drill-on-a-non-canary.patch	1	-	cargo	a_drill_on_a_host_that_is_not_a_canary_is_r0410	-
drill-attests-an-unread-fact.patch	1	-	cargo	a_drill_that_could_not_read_a_fact_does_not_attest	-
sim-reads-a-repeat-shape-literally.patch	1	-	cargo	a_sweep_of_seeds_breaks_no_invariant	-
sim-judges-an-artifact-across-instances.patch	1	-	cargo	a_sweep_of_seeds_breaks_no_invariant	-
sim-skips-a-plant-in-silence.patch	1	-	cargo	every_invariant_catches_a_planted_violation	-
explain-html-renders-a-plans-markup.patch	1	-	cargo	markup_in_a_plan_is_escaped_rather_than_rendered	-
grammar-edited-without-regenerating.patch	1	-	cargo	the_checked_in_parser_matches_the_grammar	-
lsp-underlines-a-missing-host.patch	1	-	cargo	a_clean_tenant_opens_with_no_diagnostics	-
